©	कॉपीराइट
🇨🇨	कोकोस (कीलिंग) द्वीपसमूह का झंडा
🇨🇩	कांगो - किंशासा का झंडा
🇨🇫	मध्य अफ़्रीकी गणराज्य का झंडा
🇨🇬	कांगो – ब्राज़ाविल का झंडा
🇨🇭	स्विट्ज़रलैंड का झंडा
🇨🇮	कोट डी आइवर का झंडा
🇨🇰	कुक द्वीपसमूह का झंडा
🇨🇱	चिली का झंडा
🇨🇲	कैमरून का झंडा
🇨🇳	चीन का झंडा
🇨🇴	कोलंबिया का झंडा
🇨🇵	क्लिपर्टन द्वीप का झंडा
🇨🇷	कोस्टारिका का झंडा
🇨🇺	क्यूबा का झंडा
🇨🇻	केप वर्ड का झंडा
🇨🇼	क्यूरासाओ का झंडा
🇨🇽	क्रिसमस द्वीप का झंडा
🇨🇾	साइप्रस का झंडा
🇨🇿	चेकिया का झंडा
🇩🇪	जर्मनी का झंडा
🇩🇬	डिएगो गार्सिया का झंडा
🇩🇯	जिबूती का झंडा
🇩🇰	डेनमार्क का झंडा
🇩🇲	डोमिनिका का झंडा
🇩🇴	डोमिनिकन गणराज्य का झंडा
🇩🇿	अल्जीरिया का झंडा
🇪🇦	सेउटा और मेलिला का झंडा
🇪🇨	इक्वाडोर का झंडा
🇪🇪	एस्टोनिया का झंडा
🇪🇬	मिस्र का झंडा
🇪🇭	पश्चिमी सहारा का झंडा
🇪🇷	इरिट्रिया का झंडा
🇪🇸	स्पेन का झंडा
🇪🇹	इथियोपिया का झंडा
🇪🇺	यूरोपीय संघ का झंडा
🇫🇮	फ़िनलैंड का झंडा
🇫🇯	फ़िजी का झंडा
🇫🇰	फ़ॉकलैंड द्वीपसमूह का झंडा
🇫🇲	माइक्रोनेशिया का झंडा
🇫🇴	फ़ेरो द्वीपसमूह का झंडा
🇫🇷	फ़्रांस का झंडा
🇬🇦	गैबॉन का झंडा
🇬🇧	यूनाइटेड किंगडम का झंडा
🇬🇩	ग्रेनाडा का झंडा
🇬🇪	जॉर्जिया का झंडा
🇬🇫	फ़्रेंच गुयाना का झंडा
🇬🇬	गर्नसी का झंडा
🇬🇭	घाना का झंडा
🇬🇮	जिब्राल्टर का झंडा
🇬🇱	ग्रीनलैंड का झंडा
🇬🇲	गाम्बिया का झंडा
🇬🇳	गिनी का झंडा
🇬🇵	ग्वाडेलूप का झंडा
🇬🇶	इक्वेटोरियल गिनी का झंडा
🇬🇷	यूनान का झंडा
🇬🇸	दक्षिण जॉर्जिया और दक्षिण सैंडविच द्वीपसमूह का झंडा
🇬🇹	ग्वाटेमाला का झंडा
🇬🇺	गुआम का झंडा
🇬🇼	गिनी-बिसाउ का झंडा
🇬🇾	गुयाना का झंडा
🇭🇰	हाँग काँग (चीन विशेष प्रशासनिक क्षेत्र) का झंडा
🇭🇲	हर्ड द्वीप और मैकडोनॉल्ड द्वीपसमूह का झंडा
🇭🇳	होंडूरास का झंडा
🇭🇷	क्रोएशिया का झंडा
🇭🇹	हैती का झंडा
🇭🇺	हंगरी का झंडा
🇮🇨	कैनेरी द्वीपसमूह का झंडा
🇮🇩	इंडोनेशिया का झंडा
🇮🇪	आयरलैंड का झंडा
🇮🇱	इज़राइल का झंडा
🇮🇲	आइल ऑफ़ मैन का झंडा
🇮🇳	भारत का झंडा
🇮🇴	ब्रिटिश हिंद महासागरीय क्षेत्र का झंडा
🇮🇶	इराक का झंडा
🇮🇷	ईरान का झंडा
🇮🇸	आइसलैंड का झंडा
🇮🇹	इटली का झंडा
🇯🇪	जर्सी का झंडा
🇯🇲	जमैका का झंडा
🇯🇴	जॉर्डन का झंडा
🇯🇵	जापान का झंडा
🇰🇪	केन्या का झंडा
🇰🇬	किर्गिज़स्तान का झंडा
🇰🇭	कंबोडिया का झंडा
🇰🇮	किरिबाती का झंडा
🇰🇲	कोमोरोस का झंडा
🇰🇳	सेंट किट्स और नेविस का झंडा
🇰🇵	उत्तर कोरिया का झंडा
🇰🇷	दक्षिण कोरिया का झंडा
🇰🇼	कुवैत का झंडा
🇰🇾	कैमेन द्वीपसमूह का झंडा
🇰🇿	कज़ाखस्तान का झंडा
🇱🇦	लाओस का झंडा
🇱🇧	लेबनान का झंडा
🇱🇨	सेंट लूसिया का झंडा
🇱🇮	लिचेंस्टीन का झंडा
🇱🇰	श्रीलंका का झंडा
🇱🇷	लाइबेरिया का झंडा
🇱🇸	लेसोथो का झंडा
🇱🇹	लिथुआनिया का झंडा
🇱🇺	लग्ज़मबर्ग का झंडा
🇱🇻	लातविया का झंडा
🇱🇾	लीबिया का झंडा
🇲🇦	मोरक्को का झंडा
🇲🇨	मोनाको का झंडा
🇲🇩	मॉल्डोवा का झंडा
🇲🇪	मोंटेनेग्रो का झंडा
🇲🇫	सेंट मार्टिन का झंडा
🇲🇬	मेडागास्कर का झंडा
🇲🇭	मार्शल द्वीपसमूह का झंडा
🇲🇰	मकदूनिया का झंडा
🇲🇱	माली का झंडा
🇲🇲	म्यांमार (बर्मा) का झंडा
🇲🇳	मंगोलिया का झंडा
🇲🇴	मकाऊ (विशेष प्रशासनिक क्षेत्र चीन) का झंडा
🇲🇵	उत्तरी मारियाना द्वीपसमूह का झंडा
🇲🇶	मार्टीनिक का झंडा
🇲🇷	मॉरिटानिया का झंडा
🇲🇸	मोंटसेरात का झंडा
🇲🇹	माल्टा का झंडा
🇲🇺	मॉरीशस का झंडा
🇲🇻	मालदीव का झंडा
🇲🇼	मलावी का झंडा
🇲🇽	मैक्सिको का झंडा
🇲🇾	मलेशिया का झंडा
🇲🇿	मोज़ांबिक का झंडा
🇳🇦	नामीबिया का झंडा
🇳🇨	न्यू कैलेडोनिया का झंडा
🇳🇪	नाइजर का झंडा
🇳🇫	नॉरफ़ॉक द्वीप का झंडा
🇳🇬	नाइजीरिया का झंडा
🇳🇮	निकारागुआ का झंडा
🇳🇱	नीदरलैंड का झंडा
🇳🇴	नॉर्वे का झंडा
🇳🇵	नेपाल का झंडा
🇳🇷	नाउरु का झंडा
🇳🇺	नीयू का झंडा
🇳🇿	न्यूज़ीलैंड का झंडा
🇴🇲	ओमान का झंडा
🇵🇦	पनामा का झंडा
🇵🇪	पेरू का झंडा
🇵🇫	फ़्रेंच पोलिनेशिया का झंडा
🇵🇬	पापुआ न्यू गिनी का झंडा
🇵🇭	फ़िलिपींस का झंडा
🇵🇰	पाकिस्तान का झंडा
🇵🇱	पोलैंड का झंडा
🇵🇲	सेंट पिएरे और मिक्वेलान का झंडा
🇵🇳	पिटकैर्न द्वीपसमूह का झंडा
🇵🇷	पोर्टो रिको का झंडा
🇵🇸	फ़िलिस्तीनी क्षेत्र का झंडा
🇵🇹	पुर्तगाल का झंडा
🇵🇼	पलाऊ का झंडा
🇵🇾	पराग्वे का झंडा
🇶🇦	क़तर का झंडा
🇷🇪	रियूनियन का झंडा
🇷🇴	रोमानिया का झंडा
🇷🇸	सर्बिया का झंडा
🇷🇺	रूस का झंडा
🇷🇼	रवांडा का झंडा
🇸🇦	सऊदी अरब का झंडा
🇸🇧	सोलोमन द्वीपसमूह का झंडा
🇸🇨	सेशेल्स का झंडा
🇸🇩	सूडान का झंडा
🇸🇪	स्वीडन का झंडा
🇸🇬	सिंगापुर का झंडा
🇸🇭	सेंट हेलेना का झंडा
🇸🇮	स्लोवेनिया का झंडा
🇸🇯	स्वालबार्ड और जान मायेन का झंडा
🇸🇰	स्लोवाकिया का झंडा
🇸🇱	सिएरा लियोन का झंडा
🇸🇲	सैन मेरीनो का झंडा
🇸🇳	सेनेगल का झंडा
🇸🇴	सोमालिया का झंडा
🇸🇷	सूरीनाम का झंडा
🇸🇸	दक्षिण सूडान का झंडा
🇸🇹	साओ टोम और प्रिंसिपे का झंडा
🇸🇻	अल सल्वाडोर का झंडा
🇸🇽	सिंट मार्टिन का झंडा
🇸🇾	सीरिया का झंडा
🇸🇿	स्वाज़ीलैंड का झंडा
🇹🇦	त्रिस्टान डा कुना का झंडा
🇹🇨	तुर्क और कैकोज़ द्वीपसमूह का झंडा
🇹🇩	चाड का झंडा
🇹🇫	फ़्रांसीसी दक्षिणी क्षेत्र का झंडा
🇹🇬	टोगो का झंडा
🇹🇭	थाईलैंड का झंडा
🇹🇯	ताज़िकिस्तान का झंडा
🇹🇰	तोकेलाउ का झंडा
🇹🇱	तिमोर-लेस्त का झंडा
🇹🇲	तुर्कमेनिस्तान का झंडा
🇹🇳	ट्यूनीशिया का झंडा
🇹🇴	टोंगा का झंडा
🇹🇷	तुर्की का झंडा
🇹🇹	त्रिनिदाद और टोबैगो का झंडा
🇹🇻	तुवालू का झंडा
🇹🇼	ताइवान का झंडा
🇹🇿	तंज़ानिया का झंडा
🇺🇦	यूक्रेन का झंडा
🇺🇬	युगांडा का झंडा
🇺🇲	यू॰एस॰ आउटलाइंग द्वीपसमूह का झंडा
🇺🇳	संयुक्त राष्ट्र का झंडा
🇺🇸	संयुक्त राज्य का झंडा
🇺🇾	उरूग्वे का झंडा
🇺🇿	उज़्बेकिस्तान का झंडा
🇻🇦	वेटिकन सिटी का झंडा
🇻🇨	सेंट विंसेंट और ग्रेनाडाइंस का झंडा
🇻🇪	वेनेज़ुएला का झंडा
🇻🇬	ब्रिटिश वर्जिन द्वीपसमूह का झंडा
🇻🇮	यू॰एस॰ वर्जिन द्वीपसमूह का झंडा
🇻🇳	वियतनाम का झंडा
🇻🇺	वनुआतू का झंडा
🇼🇫	वालिस और फ़्यूचूना का झंडा
🇼🇸	समोआ का झंडा
🇽🇰	कोसोवो का झंडा
🇾🇪	यमन का झंडा
🇾🇹	मायोते का झंडा
🇿🇦	दक्षिण अफ़्रीका का झंडा
🇿🇲	ज़ाम्बिया का झंडा
🇿🇼	ज़िम्बाब्वे का झंडा
🏴󠁧󠁢󠁥󠁮󠁧󠁿	इंग्लैंड का झंडा
🏴󠁧󠁢󠁳󠁣󠁴󠁿	स्कॉटलैंड का झंडा
🏴󠁧󠁢󠁷󠁬󠁳󠁿	वेल्स का झंडा
#️⃣	हैश चिह्न की कुंजी
*️⃣	तारांकन चिह्न की कुंजी
0️⃣	शून्य की कुंजी
1️⃣	एक की कुंजी
2️⃣	दो की कुंजी
3️⃣	तीन की कुंजी
4️⃣	चार की कुंजी
5️⃣	पाँच की कुंजी
6️⃣	छह की कुंजी
7️⃣	सात की कुंजी
8️⃣	आठ की कुंजी
9️⃣	नौ की कुंजी
🩰	बैलेट जूते
🩱	वन-पीस स्विमसूट
🩲	अंडरवियर
🩳	शॉर्ट्स
🩴	थॉन्ग सैंडल
🩵	हल्का नीला दिल
🩶	स्लेटी दिल
🩷	गुलाबी दिल
🩸	ख़ून की बूँद
🩹	चिपकाने वाली पट्‍टी
🩺	स्टेथोस्कोप
🩻	एक्स-रे
🩼	बैसाखी
🪀	यो-यो
🪁	पतंग
🪂	पैराशूट
🪃	बूमरैंग
🪄	जादू की छड़ी
🪅	पिन्याटा
🪆	नेस्टिंग गुड़ियों का समूह
🪇	मराकस
🪈	बांसुरी
🪉	हार्प
🪏	फावड़ा
🪐	छल्लेदार ग्रह
🪑	कुर्सी
🪒	उस्तरा
🪓	कुल्हाड़ी
🪔	दीपक
🪕	बैंजो
🪖	मिलिट्री हैलमेट
🪗	अकॉर्डियन
🪘	बड़ा ड्रम
🪙	सिक्का
🪚	बढ़ई की आरी
🪛	स्क्रूड्राइवर
🪜	सीढ़ी
🪝	हुक
🪞	आईना
🪟	खिड़की
🪠	पिस्टन
🪡	सूई
🪢	गांठ
🪣	बाल्टी
🪤	चूहेदानी
🪥	टूथब्रश
🪦	हेडस्टोन
🪧	घोषणा पत्र
🪨	चट्टान
🪩	मिरर बॉल
🪪	पहचान पत्र
🪫	कम बैटरी
🪬	हम्सा
🪭	मोड़ा जा सकने वाला हाथ का पंखा
🪮	बाल संवारने के लिए कंघी
🪯	खंडा
🪰	मक्खी
🪱	कृमि
🪲	बीटल
🪳	तिलचट्टा
🪴	गमले में लगा पौधा
🪵	लकड़ी
🪶	पंख
🪷	कमल
🪸	कोरल
🪹	खाली घोंसला
🪺	अंडों वाला घोंसला
🪻	ह्यचींथ
🪼	जेलीफ़िश
🪽	पर
🪾	बिना पत्तों का पेड़
🪿	बत्तख
🫀	हृदय अंग
🫁	फेफड़ा
🫂	गले मिलते हुए लोग
🫃	गर्भवती पुरुष
🫄	गर्भवती
🫅	मुकुट वाला व्यक्ति
🫆	फ़िंगरप्रिंट
🫎	मूस
🫏	गधा
🫐	ब्लूबेरी
🫑	शिमला मिर्च
🫒	जैतून
🫓	फ़्लैटब्रेड
🫔	टमाले
🫕	फ़ॉनडू
🫖	चाय की केतली
🫗	पेय छलकना
🫘	लोबिया
🫙	मर्तबान
🫚	अदरक की जड़
🫛	मटर की फली
🫜	कंद मूल
🫟	छींटे
🫠	पिघलता चेहरा
🫡	सलामी देता चेहरा
🫢	खुली आँखें और मुँह पर हाथ वाला चेहरा
🫣	उंगलियों के बीच से झांकता हुआ चेहरा
🫤	तिरछे मुंह वाला चेहरा
🫥	बिंदीयुक्त रेखांकित चेहरा
🫦	होंठ काटना
🫧	बुलबुले
🫨	थरथराता चेहरा
🫩	आँखों के नीचे सूजन वाला चेहरा
🫰	क्रॉस किए तर्जनी और अंगूठे वाला हाथ
🫱	दाहिनी ओर हाथ
🫲	बाईं ओर हाथ
🫳	नीचे की ओर हथेली
🫴	ऊपर की ओर हथेली
🫵	दर्शक की ओर इशारा करती हुई तर्जनी उंगली
🫶	हाथों से बना दिल का चिह्न
🫷	बाईं तरफ़ धक्का देता हुआ हाथ
🫸	दाईं तरफ़ धक्का देता हुआ हाथ
⛓‍💥	टूटी हुई ज़ंजीर
❤‍🔥	दिल जलना
❤‍🩹	दिल बहलाना
🍄‍🟫	भूरा मशरूम
🍋‍🟩	नींबू
🏃‍♀‍➡	दौड़ती हुई महिला दाईं ओर चेहरा घुमाए
🏃‍♂‍➡	दौड़ता हुआ पुरुष दाईं ओर चेहरा घुमाए
🏃‍➡	दौड़ता हुआ व्यक्ति दाईं ओर चेहरा घुमाए
🏳‍⚧	ट्रांसजेंडर झंडा
🐈‍⬛	काली बिल्ली
🐕‍🦺	दिव्यांग सहायता कुत्ता
🐦‍⬛	काली चिड़िया
🐦‍🔥	फ़ीनिक्स
🐻‍❄	ध्रुवीय भालू
👨‍🍼	शिशु को दूध पिला रहा आदमी
👨‍🦯	छड़ी लिया हुआ आदमी
👨‍🦯‍➡	छड़ी लिया हुआ आदमी दाईं ओर चेहरा घुमाए
👨‍🦰	पुरुष लाल बाल
👨‍🦱	पुरुष घुँघराले बाल
👨‍🦲	पुरुष गंजा
👨‍🦳	पुरुष सफ़ेद बाल
👨‍🦼	मोटर व्हीलचेयर पर बैठा आदमी
👨‍🦼‍➡	मोटर व्हीलचेयर पर बैठा आदमी दाईं ओर चेहरा घुमाए
👨‍🦽	हस्तचालित व्हीलचेयर पर बैठा आदमी
👨‍🦽‍➡	हस्तचालित व्हीलचेयर पर बैठा आदमी दाईं ओर चेहरा घुमाए
👩‍❤‍💋‍👨	महिला और पुरुष का चुंबन
👨‍❤‍💋‍👨	दो पुरुषों का चुंबन
👩‍❤‍💋‍👩	दो महिलाओं का चुंबन
👩‍❤‍👨	महिला और पुरुष की प्रेमी जोड़ी
👨‍❤‍👨	दो पुरुषों की प्रेमी जोड़ी
👩‍❤‍👩	दो महिलाओं की प्रेमी जोड़ी
👨‍👩‍👦	परिवार में पुरुष, महिला और लड़का हैं
👨‍👩‍👧	परिवार में पुरुष, महिला और लड़की हैं
👨‍👩‍👧‍👦	परिवार में पुरुष, महिला, लड़की और लड़का हैं
👨‍👩‍👦‍👦	परिवार में पुरुष, महिला और दो लड़के हैं
👨‍👩‍👧‍👧	परिवार में पुरुष, महिला और दो लड़कियाँ हैं
👨‍👨‍👦	परिवार में दो पुरुष और लड़का हैं
👨‍👨‍👧	परिवार में दो पुरुष और लड़की हैं
👨‍👨‍👧‍👦	परिवार में दो पुरुष, लड़की और लड़का हैं
👨‍👨‍👦‍👦	परिवार में दो पुरुष और दो लड़के हैं
👨‍👨‍👧‍👧	परिवार में दो पुरुष और दो लड़कियाँ हैं
👩‍🍼	शिशु को दूध पिला रही महिला
👩‍👩‍👦	परिवार में दो महिलाएँ और लड़का हैं
👩‍👩‍👧	परिवार में दो महिलाएँ और लड़की हैं
👩‍👩‍👧‍👦	परिवार में दो महिलाएँ, लड़की और लड़का हैं
👩‍👩‍👦‍👦	परिवार में दो महिलाएँ और दो लड़के हैं
👩‍👩‍👧‍👧	परिवार में दो महिलाएँ और दो लड़कियाँ हैं
👨‍👦	परिवार में पुरुष और लड़का हैं
👨‍👦‍👦	परिवार में पुरुष और दो लड़के हैं
👨‍👧	परिवार में पुरुष और लड़की हैं
👨‍👧‍👦	परिवार में पुरुष, लड़की और लड़का हैं
👨‍👧‍👧	परिवार में पुरुष और दो लड़कियाँ हैं
👩‍👦	परिवार में महिला और लड़का हैं
👩‍👦‍👦	परिवार में महिला और दो लड़के हैं
👩‍👧	परिवार में महिला और लड़की हैं
👩‍👧‍👦	परिवार में महिला, लड़की और लड़का हैं
👩‍👧‍👧	परिवार में महिला और दो लड़कियाँ हैं
👨‍⚕	पुरुष स्वास्थ्य कार्यकर्ता
👩‍⚕	महिला स्वास्थ्य कार्यकर्ता
👨‍⚖	न्यायाधीश
👩‍⚖	महिला न्यायाधीश
👨‍✈	पुरुष पायलट
👩‍✈	महिला पायलट
👨‍🌾	किसान
👩‍🌾	महिला किसान
👨‍🍳	रसोइया
👩‍🍳	महिला रसोइया
👨‍🎓	छात्र
👩‍🎓	छात्रा
👨‍🎤	गायक
👩‍🎤	गायिका
👨‍🎨	पुरुष कलाकार
👩‍🎨	महिला कलाकार
👨‍🏫	अध्यापक
👩‍🏫	अध्यापिका
👨‍🏭	पुरुष फैक्टरी मजदूर
👩‍🏭	महिला फैक्टरी मजदूर
👨‍💻	पुरुष टेक्नोलॉजिस्ट
👩‍💻	महिला टेक्नोलॉजिस्ट
👨‍💼	पुरुष कार्यालय कार्यकर्ता
👩‍💼	महिला कार्यालय कार्यकर्ता
👨‍🔧	मिस्त्री
👩‍🔧	महिला मिस्त्री
👨‍🔬	पुरुष वैज्ञानिक
👩‍🔬	महिला वैज्ञानिक
👨‍🚀	पुरुष अंतरिक्ष यात्री
👩‍🚀	महिला अंतरिक्ष यात्री
👨‍🚒	महिला फायर फाइटर
👩‍🚒	पुरुष फायर फाइटर
👩‍🦯	छड़ी पकड़ी हुई औरत
👩‍🦯‍➡	छड़ी पकड़ी हुई औरत दाईं ओर चेहरा घुमाए
👩‍🦰	महिला लाल बाल
👩‍🦱	महिला घुँघराले बाल
👩‍🦲	महिला गंजा
👩‍🦳	महिला सफ़ेद बाल
👩‍🦼	मोटर व्हीलचेयर पर बैठी औरत
👩‍🦼‍➡	मोटर व्हीलचेयर पर बैठी औरत दाईं ओर चेहरा घुमाए
👩‍🦽	हस्तचालित व्हीलचेयर पर बैठी औरत
👩‍🦽‍➡	हस्तचालित व्हीलचेयर पर बैठी औरत दाईं ओर चेहरा घुमाए
👮‍♀	महिला पुलिस अधिकारी
👮‍♂	पुरुष पुलिस अधिकारी
👰‍♀	घूंघट वाली महिला
👰‍♂	पर्दे वाला आदमी
👱‍♀	सुनहरे बालों वाली औरत
👱‍♂	सुनहरे बालों वाला पुरुष
👳‍♀	पगड़ी वाली महिला
👳‍♂	पगड़ी वाला पुरुष
👷‍♀	महिला निर्माण मजदूर
👷‍♂	पुरुष निर्माण मजदूर
💂‍♀	महिला गार्ड
💂‍♂	पुरुष गार्ड
🕵️‍♀	महिला जासूस
🕵️‍♂	पुरुष जासूस
😮‍💨	सांस छोड़ता हुआ चेहरा
😵‍💫	घुमावदार आँखों वाला चेहरा
😶‍🌫	बादलों से ढँका चेहरा
🙂‍↔	इनकार का इशारा करता हुआ सिर
🙂‍↕	हामी भरने का इशारा करता हुआ सिर
🚶‍♀‍➡	पैदल चलती महिला दाईं ओर चेहरा घुमाए
🚶‍♂‍➡	पैदल चलता पुरुष दाईं ओर चेहरा घुमाए
🚶‍➡	पैदल चलता व्यक्ति दाईं ओर चेहरा घुमाए
🤵‍♀	सूट-बूट में औरत
🤵‍♂	सूट-बूट में आदमी
🦸‍♀	महिला सुपरहीरो
🦸‍♂	पुरुष सुपरहीरो
🦹‍♀	महिला सुपरविलन
🦹‍♂	पुरुष सुपरविलन
🧍‍♀	खड़ी औरत
🧍‍♂	खड़ा आदमी
🧎‍♀	औरत घुटनों के बल
🧎‍♀‍➡	औरत घुटनों के बल दाईं ओर चेहरा घुमाए
🧎‍♂	आदमी घुटनों के बल
🧎‍♂‍➡	आदमी घुटनों के बल दाईं ओर चेहरा घुमाए
🧎‍➡	घुटनों के बल बैठा व्यक्ति दाईं ओर चेहरा घुमाए
🧏‍♀	बहरी औरत
🧏‍♂	बहरा आदमी
🧑‍⚕	स्वास्थ्य कार्यकर्ता
🧑‍⚖	जज
🧑‍✈	पायलट
🧑‍🌾	कृषक
🧑‍🍳	बावर्ची
🧑‍🍼	शिशु को दूध पिलाने वाली वाला
🧑‍🎄	एम एक्स क्लाॅॅॅॅज़
🧑‍🎓	विद्यार्थी
🧑‍🎤	गानेवाला
🧑‍🎨	कलाकार
🧑‍🏫	शिक्षक
🧑‍🏭	फ़ैक्ट्री मज़दूर
🧑‍💻	टेक्नोलॉजिस्ट
🧑‍💼	कार्यालय कार्यकर्ता
🧑‍🔧	मैकेनिक
🧑‍🔬	वैज्ञानिक
🧑‍🚀	अंतरिक्ष यात्री
🧑‍🚒	अग्निशमक
🧑‍🤝‍🧑	हाथ पकड़े हुए लोग
🧑‍🦯	छड़ी पकड़ा हुआ आदमी
🧑‍🦯‍➡	छड़ी पकड़ा हुआ आदमी दाईं ओर चेहरा घुमाए
🧑‍🦰	व्यक्ति लाल बाल
🧑‍🦱	व्यक्ति घुँघराले बाल
🧑‍🦲	व्यक्ति गंजा
🧑‍🦳	व्यक्ति सफ़ेद बाल
🧑‍🦼	मोटर व्हीलचेयर पर बैठा व्यक्ति
🧑‍🦼‍➡	मोटर व्हीलचेयर पर बैठा व्यक्ति दाईं ओर चेहरा घुमाए
🧑‍🦽	हस्तचालित व्हीलचेयर पर बैठा व्यक्ति
🧑‍🦽‍➡	हस्तचालित व्हीलचेयर पर बैठा व्यक्ति दाईं ओर चेहरा घुमाए
🧑‍🧑‍🧒	परिवार वयस्क वयस्क बच्चा
🧑‍🧑‍🧒‍🧒	परिवार वयस्क वयस्क बच्चा बच्चा
🧑‍🧒	परिवार वयस्क बच्चा
🧑‍🧒‍🧒	परिवार वयस्क बच्चा बच्चा
🧑‍🩰	बैले डांसर
🧔‍♀	महिला दाढ़ी
🧔‍♂	आदमी दाढ़ी
🧙‍♀	करामाती महिला
🧙‍♂	करामाती पुरुष
🧚‍♀	अप्सरा
🧚‍♂	देवदूत
🧛‍♀	महिला वैम्पायर
🧛‍♂	पुरुष वैम्पायर
🧜‍♀	मत्स्यकन्या
🧜‍♂	मत्स्यपुरुष
🧝‍♀	जादुई स्त्री
🧝‍♂	जादुई पुरुष
🧞‍♀	स्त्री जिन्न
🧞‍♂	पुरुष जिन्न
🧟‍♀	महिला ज़ॉम्बी
🧟‍♂	पुरुष ज़ॉम्बी
⛹‍♀	गेंद से खेलती महिला
⛹‍♂	गेंद से खेलता पुरुष
🏃‍♀	दौड़ती हुई महिला
🏃‍♂	दौड़ता हुआ पुरुष
🏄‍♀	सर्फ़िंग करती महिला
🏄‍♂	सर्फ़िंग करता पुरुष
🏊‍♀	तैरती हुई महिला
🏊‍♂	तैरता हुआ पुरुष
🏋️‍♀	भार उठाती हुई महिला
🏋️‍♂	भार उठाता हुआ पुरुष
🏌️‍♀	गोल्फ़ खेलती महिला
🏌️‍♂	गोल्फ़ खेलता पुरुष
👯‍♀	खरगोश के कान वाली महिलाएँ
👯‍♂	खरगोश के कान वाले पुरुष
💆‍♀	मालिश करवाती महिला
💆‍♂	मालिश करवाता पुरुष
💇‍♀	बाल कटवाती हुई महिला
💇‍♂	बाल कटवाता हुआ पुरुष
🚣‍♀	चप्पू से नाव चलाती महिला
🚣‍♂	चप्पू से नाव चलाता पुरुष
🚴‍♀	साइकिल चलाती महिला
🚴‍♂	साइकिल चलाता पुरुष
🚵‍♀	पहाड़ पर साइकिल चलाती महिला
🚵‍♂	पहाड़ पर साइकिल चलाता पुरुष
🚶‍♀	पैदल चलती महिला
🚶‍♂	पैदल चलता पुरुष
🤸‍♀	कलाबाज़ी करती महिला
🤸‍♂	कलाबाज़ी करता पुरुष
🤹‍♀	करतब दिखाती महिला
🤹‍♂	करतब दिखाता पुरुष
🤼‍♀	महिला पहलवान
🤼‍♂	पुरुष पहलवान
🤽‍♀	वाटर पोलो खेलती महिला
🤽‍♂	वाटर पोलो खेलता पुरुष
🤾‍♀	हैंडबॉल खेलती महिला
🤾‍♂	हैंडबॉल खेलता पुरुष
🧖‍♀	भाप से भरे कमरे में कोई महिला
🧖‍♂	भाप से भरे कमरे में कोई पुरुष
🧗‍♀	चढ़ाई करती हुई महिला
🧗‍♂	चढ़ाई करता हुआ पुरुष
🧘‍♀	पद्मासन में बैठी महिला
🧘‍♂	पद्मासन में बैठा पुरुष
💁‍♀	सूचना देती महिला
💁‍♂	सूचना देता पुरुष
🙅‍♀	नहीं कहती हुई महिला
🙅‍♂	नहीं कहता हुआ पुरुष
🙆‍♀	ठीक है कहती हुई महिला
🙆‍♂	ठीक है कहता हुआ पुरुष
🙇‍♀	सर झुकाती महिला
🙇‍♂	सर झुकाता पुरुष
🙋‍♀	हाथ उठाई हुई महिला
🙋‍♂	हाथ उठाया हुआ पुरुष
🙍‍♀	नाक–भौं चढ़ाई महिला
🙍‍♂	नाक-भौं चढ़ाया पुरुष
🙎‍♀	होठ निकली हुई महिला
🙎‍♂	होठ निकाला हुआ पुरुष
🤦‍♀	माथे पर हाथ रखी हुई महिला
🤦‍♂	माथे पर हाथ रखा हुआ पुरुष
🤷‍♀	महिला का कंधा उचकाना
🤷‍♂	कंधा उचकाता पुरुष
🏳‍🌈	इंद्रधनुषी झंडा
🏴‍☠	समुद्री दस्यु का झंडा
👁‍🗨	स्पीच बबल में आंख
